1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
airplane,airplane,airplane,airplane,airplane,airplane,airplane,drum,drum,drum,drum,drum,drum,blanket,blanket,blanket,blanket,blanket,bicycle,bicycle,bicycle,bicycle,hamburger,hamburger,hamburger,purse,purse,fork
popcorn,popcorn,popcorn,popcorn,popcorn,popcorn,popcorn,towel,towel,towel,towel,towel,towel,bathtub,bathtub,bathtub,bathtub,bathtub,shirt,shirt,shirt,shirt,bread,bread,bread,kite,kite,cereal
pajamas,pajamas,pajamas,pajamas,pajamas,pajamas,pajamas,table,table,table,table,table,table,hat,hat,hat,hat,hat,bed,bed,bed,bed,zipper,zipper,zipper,box,box,piano
cup,cup,cup,cup,cup,cup,cup,cheese,cheese,cheese,cheese,cheese,cheese,house,house,house,house,house,money,money,money,money,yogurt,yogurt,yogurt,broom,broom,diaper
slide,slide,slide,slide,slide,slide,slide,potato chip,potato chip,potato chip,potato chip,potato chip,potato chip,water,water,water,water,water,pool,pool,pool,pool,chair,chair,chair,cracker,cracker,couch
plate,plate,plate,plate,plate,plate,plate,doll,doll,doll,doll,doll,doll,door,door,door,door,door,chocolate,chocolate,chocolate,chocolate,sled,sled,sled,truck,truck,butter
sandwich,sandwich,sandwich,sandwich,sandwich,sandwich,sandwich,barn,barn,barn,barn,barn,barn,pants,pants,pants,pants,pants,balloon,balloon,balloon,balloon,swing,swing,swing,ball,ball,shorts
boots,boots,boots,boots,boots,boots,boots,boat,boat,boat,boat,boat,boat,car,car,car,car,car,bowl,bowl,bowl,bowl,ice,ice,ice,cake,cake,brush
telephone,telephone,telephone,telephone,telephone,telephone,telephone,window,window,window,window,window,window,guitar,guitar,guitar,guitar,guitar,spoon,spoon,spoon,spoon,watch (object),watch (object),watch (object),coat,coat,dress
train,train,train,train,train,train,train,bottle,bottle,bottle,bottle,bottle,bottle,rain,rain,rain,rain,rain,pillow,pillow,pillow,pillow,socks,socks,socks,bus,bus,ice cream
spinach,spinach,spinach,spinach,spinach,spinach,spinach,lime,lime,lime,lime,lime,lime,chipmunk,chipmunk,chipmunk,chipmunk,chipmunk,mushroom,mushroom,mushroom,mushroom,corn,corn,corn,beans,beans,bat (animal)
baby,baby,baby,baby,baby,baby,baby,grass,grass,grass,grass,grass,grass,beaver,beaver,beaver,beaver,beaver,peacock,peacock,peacock,peacock,lobster,lobster,lobster,peas,peas,goat
eagle,eagle,eagle,eagle,eagle,eagle,eagle,flower,flower,flower,flower,flower,flower,orange,orange,orange,orange,orange,plum,plum,plum,plum,camel,camel,camel,pig,pig,banana
